File,Correct,Vosk,PocketSphinx,Whisper,DeepSpeech2,Wav2Vec2
CAR0001_0002,"Sure thirty nine, I'm a male.",sure i'm thirty nine i'm a male,sure how the ninth and i'm in l," Sure, 39. I'm a male.",sure thirty nine a a male,sharp am thirty nine ah i'm a male
CAR0001_0005,start,start,stairs,Start.,start,start
CAR0001_0006,uhm it started last night,and it started last night,and it it's there in the last night,It started last night.,and it started last night,and it started last night
CAR0001_0007,but it's becoming sharper,i have but it's becoming sharper,abbott's an instructor,but it's becoming sharper.,but it's the coming sharper,ah but it's the coming sharper
CAR0001_0008,"OK, and where is this pain located? ",okay and i where is the pain located,okay stands out where is is being loaded," Okay, and where is this pain located?",okay and i where is this pain located,o ka and a were is this pain located
CAR0001_0024,Um not laying down helps.,i'm not laying down helps,am not laying down helps,I'm not laying down. I'm not laying down.,laying down help,i'm not laying down helps
CAR0001_0025,"OK, so do you find laying down makes the pain worse?",okay so do you find laying down makes the pain worse,okay so you try and claim that makes it a worse," Okay, so do you find laying down makes the pain worse?",okay sir you find laying down make the pain worse,o k sir duin laying down makes the pain worse
CAR0001_0029,"Maybe taking a deep breath. Yeah. OK. And when the pain started, could you",maybe taking a deep breath yeah okay and when the pain started could yeah,the lady sitting in the press have a pet and i'm looking started to get it i am," Maybe taking a deep breath. Yeah. Okay. And when the pain started, could you...",i may be taking a deep breath he and welfare could,maybe taking a deep breath younger and and what the pain started culd ye an
CAR0001_0031,tell me,tell you,tell you that,Tell you...,tell,ta a
CAR0001_0036,when you were doing that?,when you were doing that,when you're doing that,when you were doing that.,when you're doing that,when you redurin that
CAR0001_0042,"I'd say it's like a seven or eight. It's pretty bad. OK, and with the pain, do you have any other associated symptoms?",i'd say it's like a seven or eight it's pretty bad okay i'm in with the pain do you have any other associated symptoms,i say it's like a set in our interests paid ads that acts and then when that didn't add any other odd isn't it isn't those," I'd say it's like a seven or eight. It's pretty bad. Okay. And with the pain, do you have any other associated symptoms?",i say i like a sudden or a pretty bad okay in it with the pain to have any other associated symptoms,i'd say it's like a seven or eight pretty bad o k an and with the pain do you have any other aassociated symptoms
CAR0001_0056,have you been sweaty at all?,have you been sick and sweaty at all,have you been so i'm sweaty and all,Have you been sweaty at all?,have you been sweat at all,have you vinced im sweaty at all
CAR0001_0060,uh um,and,i'm not either,I'm,a,ma an
CAR0001_0062,recently have you had any periods of time where you,recently have you had any periods of time where you,recently added on it out is a time were you,Recently have you had any periods of time where you?,recently have you had any periods of time where you,recently have you had any periods of time were you
CAR0001_0068,"P: No no. 

D: OK. And have you been feeling sick at all? Any infectious symptoms? ",no no ok i and i have you been feeling sick at all any infectious symptoms,now now look at the time spent them anybody's feelings ago and that his uncles," No, no. Okay. Um, and um, have you been feeling sick at all? Any infectious symptoms?",no no okay m and m have you been feeling sick at all any infectious sodom,no no o ca a and av have you been feeling sick at all any infect our symptoms
CAR0001_0069,"No. OK, have you had any nausea or vomiting? ",now okay have you had any nausea or vomiting,yeah ok and daddy daughter on and," No. Okay, have you had any nausea or vomiting?",now okay i botanising,now o cat have you had any nodger bomiting
