FIlename,Correct,Output of ASR system,Rating
CAR0003_0027,okay,propane,2
CAR0002_0025,sorry yeah the pain has been there this whole time and it's gotten worse ever since it started,si yet the pad has been there this wholl time and it's gotten worse iave ever since it started ocet,1
CAR0002_0049,it made it a bit worse but,it made it a big worse by ta,1
CAR0001_0078,no,no,0
CAR0002_0169,a multivitamin,a a multy biteman,1
CAR0004_0002,when did this pain start,when do this pain start,1
CAR0002_0078,but,bu,1
CAR0002_0006,it's just right  over on the on the left side,cirato over on thy on the left side,1
CAR0003_0030,and,hand,1
CAR0002_0058,okay,oquery,1
CAR0005_0002,yeah so,yes o am,1
CAR0001_0005,start,start,0
CAR0002_0045,or like get better,for migt get better,1
CAR0001_0007,but it's becoming sharper,ah but it's the coming sharper,1
CAR0002_0126,Have you been having any kind of thumping or palpitations or feel like your heart has been racing at all?,have you ven having any kind of thumping or popitations or feel like your heart husband racing at all,2
CAR0005_0026,"Yeah, I just feel it in that one spot on the left side",yet i just feel it in at one spot on the left side,0
CAR0002_0129,uhh it does feel like it's beating faster right now. It usually only feels like this when I'm playing sports. ,an it does reel like its beating faster and out usually only feels like this when i'm i plank sports,1
CAR0005_0072,can you think of anything that uh,you think of anything that i,1
CAR0002_0252,I would say a,would tay it if you,1
CAR0002_0018,and,and,0
CAR0002_0011,okay and,look and,1
CAR0004_0022,okay and where are you a student,cenda where are you a student,1
CAR0002_0179,any previous surgeries,any previous surgeries,0
CAR0002_0254,a couple times a month okay,ofo fendemon or gat,2
CAR0005_0000,it sounds like uh,t found flake ab,2
CAR0001_0006,uhm it started last night,and it started last night,0
CAR0002_0241,but i have used crystal meth in the past,but i have used a crystal meth of the past,0
CAR0005_0096,those issues in my personal life,tose issues in my personal life,2
CAR0005_0078,I don't no I've,i no o i,2
CAR0002_0042,no I'm kinda just feel it here on the left side,though onconiga's feeling at rat here on the left side,2
CAR0005_0138,no,no,0
CAR0003_0016,"yeah, I guess I'd say I have this frothy sputum",ye i guess i'd say i have this frothy spewdum,1
CAR0005_0105,I've tried uh,i'e tried i ad,2
CAR0002_0177,have you at all in the past been hospitalized for any reason,have you at all in the pas bing hospitalized for any reason,1
CAR0003_0020,ah i would say so yes,ah i would say so yes,0
CAR0005_0126,do you have any chronic conditions that you see your family doctor for,and do you have any chronic conditions that you see your family doctor ford,0
CAR0003_0027,okay,a,1
CAR0002_0025,sorry yeah the pain has been there this whole time and it's gotten worse ever since it started,ah the pain has been there the full time and it's gotten worse ever since i started on,1
CAR0002_0049,it made it a bit worse but,made it a awards,2
CAR0001_0078,no,no,0
CAR0002_0169,a multivitamin,a multi vitamin,0
CAR0004_0002,when did this pain start,this pain start,1
CAR0002_0078,but,but,0
CAR0002_0006,it's just right  over on the on the left side,and so redolent of the left side,1
CAR0003_0030,and,and,0
CAR0002_0058,okay,a,1
CAR0005_0002,yeah so,yes so,0
CAR0001_0005,start,start,0
CAR0002_0045,or like get better,better,1
CAR0001_0007,but it's becoming sharper,but it's the coming sharper,1
CAR0002_0126,Have you been having any kind of thumping or palpitations or feel like your heart has been racing at all?,have you been having any kind of thing position or feel like your hearthstone,2
CAR0005_0026,"Yeah, I just feel it in that one spot on the left side",yeah i just feel that i at once bought on the left side,1
CAR0002_0129,uhh it does feel like it's beating faster right now. It usually only feels like this when I'm playing sports. ,it does feel like it's batiste and now usually only feel like this when i'm playing sports,1
CAR0005_0072,can you think of anything that uh,think of anything that,0
CAR0002_0252,I would say a,i,1
CAR0002_0018,and,and,0
CAR0002_0011,okay and,and,0
CAR0004_0022,okay and where are you a student,and where are you a student,0
CAR0002_0179,any previous surgeries,any previous surgery,0
CAR0002_0254,a couple times a month okay,some,1
CAR0005_0000,it sounds like uh,sounds like a,0
CAR0001_0006,uhm it started last night,and it started last night,0
CAR0002_0241,but i have used crystal meth in the past,i have used a crystal bath of the past,2
CAR0005_0096,those issues in my personal life,in my personal life,0
CAR0005_0078,I don't no I've,i don't know,1
CAR0002_0042,no I'm kinda just feel it here on the left side,no i congealing rather on the left side,2
CAR0005_0138,no,no,0
CAR0003_0016,"yeah, I guess I'd say I have this frothy sputum",yeah i guess i am said rose but,2
CAR0005_0105,I've tried uh,i,1
CAR0002_0177,have you at all in the past been hospitalized for any reason,have you at all in the past in contained person,2
CAR0003_0020,ah i would say so yes,i would say so yes,0
CAR0005_0126,do you have any chronic conditions that you see your family doctor for,do you have any product conditions that you see your family doctor for,1
